name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
裕中东里,2室1厅,515,59.5平米,高楼层(共6层),1988年建板楼
月坛南街19号院,3室2厅,1050,161.1平米,低楼层(共13层),1992年建板塔结合
温馨家园,2室1厅,915,83.4平米,高楼层(共18层),1999年建塔楼
北滨河路2号院,2室1厅,580,61平米,低楼层(共20层),1992年建塔楼
广安苑一期,2室1厅,510,83平米,中楼层(共14层),1999年建板塔结合
新街口西里三区,2室1厅,260,60平米,地下室(共6层),2003年建板楼
黄寺大街24号院,2室1厅,460,54.7平米,高楼层(共6层),1991年建板楼
庄胜二期,2室2厅,950,108.61平米,中楼层(共12层),2004年建板塔结合
丰侨公寓,1室2厅,1200,84.5平米,中楼层(共22层),2000年建板塔结合
新街口西里一区,2室2厅,600,92.55平米,高楼层(共6层),2002年建板楼
中信禧园,3室2厅,1500,146平米,高楼层(共22层),2012年建塔楼
西城晶华,2室2厅,1750,144.58平米,低楼层(共8层),2005年建板塔结合
新风南里,4室1厅,890,127.9平米,高楼层(共6层),1997年建板楼
荣丰2008,1室1厅,310,35平米,高楼层(共20层),2002年建塔楼
荣丰2008,1室1厅,185,26.43平米,高楼层(共20层),2002年建塔楼
锦官苑,3室2厅,1380,170.37平米,低楼层(共18层),2005年建板塔结合
平原里小区,2室1厅,380,66平米,高楼层(共12层),2000年建板塔结合
牛街东里,2室1厅,333,63平米,高楼层(共19层),1999年建塔楼
什坊街,2室1厅,510,60.6平米,中楼层(共6层),1998年建板楼
广安门南街,2室1厅,485,83.32平米,低楼层(共18层),1999年建塔楼
考拉社区,2室1厅,500,88.62平米,高楼层(共21层),2000年建塔楼
新外大街18号,1室1厅,400,48.3平米,低楼层(共18层),1990年建塔楼
红土店南里,3室1厅,598,94.3平米,低楼层(共5层),1960年建板楼
国英一号,2室0厅,902,225.72平米,中楼层(共14层),2000年建板塔结合
新文化街,1室1厅,495,43平米,高楼层(共16层),塔楼
朱雀门,4室3厅,1870,218.83平米,高楼层(共5层),2006年建板楼
椿树园,2室2厅,830,129.55平米,低楼层(共14层),1998年建板塔结合
德胜里一区,1室1厅,410,46.6平米,高楼层(共19层),1987年建塔楼
清芷园,4室2厅,1800,300.76平米,中楼层(共16层),2003年建板塔结合
车站东街15号院,2室1厅,385,58平米,中楼层(共6层),1990年建板楼
玉廊园,2室1厅,420,77.4平米,地下室(共5层),1998年建板楼
丽水莲花,1室1厅,380,66.91平米,高楼层(共28层),2003年建塔楼
丽水莲花,2室1厅,680,95平米,中楼层(共24层),2005年建板塔结合
裕中东里,2室1厅,555,65.3平米,高楼层(共6层),1986年建板楼
三里河一区3号院,3室1厅,1240,117.7平米,低楼层(共18层),1999年建塔楼
时代之光名苑,1室1厅,335,68.7平米,高楼层(共16层),2000年建塔楼
南沙沟小区,2室1厅,490,43.01平米,高楼层(共5层),1977年建板楼
朗琴园,2室2厅,650,101平米,低楼层(共29层),2002年建塔楼
西直门南大街,3室1厅,630,94平米,高楼层(共18层),1990年建塔楼
裕中东里,2室1厅,570,60.4平米,低楼层(共6层),1987年建板楼
西豪逸景,2室1厅,370,69.16平米,高楼层(共28层),2000年建塔楼
月坛北小街1号院,3室1厅,830,96.7平米,低楼层(共16层),1997年建板塔结合
考拉社区,1室1厅,270,60.83平米,低楼层(共21层),2002年建塔楼
荣宁园,3室2厅,830,156平米,中楼层(共22层),2002年建塔楼
六铺炕一区6号院,3室2厅,1200,158平米,高楼层(共7层),1996年建板楼
清芷园,3室2厅,1100,163平米,高楼层(共13层),2000年建板塔结合
迈豪时代,1室1厅,350,84.04平米,中楼层(共7层),2000年建板楼
清芷园,4室1厅,1200,184.68平米,低楼层(共16层),2003年建板塔结合
政泰家园,1室1厅,260,66.62平米,低楼层(共23层),2004年建塔楼
新明胡同,2室1厅,595,63.5平米,中楼层(共14层),1989年建板塔结合
常青藤嘉园,2室1厅,445,81.54平米,低楼层(共11层),2004年建板塔结合
宣武门西大街,1室1厅,550,43平米,中楼层(共16层),
长安兴融中心,2室2厅,1300,156.51平米,中楼层(共14层),2002年建板塔结合
红莲中里,2室1厅,326,62平米,中楼层(共6层),1986年建板楼
广安门外南街67号院,3室0厅,355,65平米,低楼层(共6层),1991年建板楼
黄寺大街24号院,2室1厅,790,97.3平米,中楼层(共7层),1999年建板楼
万明园,2室1厅,550,72平米,高楼层(共6层),1992年建板楼
新外大街28号院,2室1厅,567,67.5平米,高楼层(共6层),1988年建板楼
天桥北里,1室1厅,309,58.6平米,高楼层(共9层),2002年建板塔结合
清芷园,6室2厅,1620,300平米,高楼层(共16层),2003年建板塔结合
富国里小区,3室1厅,895,114.5平米,低楼层(共5层),1996年建板楼
远见名苑,2室2厅,770,114.19平米,中楼层(共14层),2002年建板塔结合
西便门西里,2室1厅,300,54.23平米,高楼层(共6层),1984年建板楼
广华轩,2室1厅,565,114平米,低楼层(共24层),2000年建塔楼
法源寺西里小区,2室1厅,400,78.92平米,高楼层(共6层),1998年建板楼
二七剧场路,2室1厅,450,58.9平米,低楼层(共6层),1985年建板楼
阜成门外大街甲40号,3室1厅,526,73.3平米,高楼层(共6层),1979年建板楼
新文化街,3室1厅,700,83平米,低楼层(共18层),1990年建塔楼
陶然北岸,2室1厅,820,109.21平米,低楼层(共18层),2003年建板塔结合
信和嘉园,2室2厅,652,92.86平米,低楼层(共20层),2004年建板塔结合
